Timestamp                       Thread     Type        Activity             PID    TTL  
2026-04-21 15:04:56.260154+0900 0x1d361    Default     0x5ccef              608    0    akd: (DeviceIdentity) (null) (non-fatal, existing valid certificates)
2026-04-21 15:04:56.408523+0900 0x1d337    Default     0x0                  251    0    airportd: (IO80211) [com.apple.WiFiManager:] Info: <airport[251]> _healthCheckTimerHandler: Health check alive, checkin@[59459.909753], fault[0] crash[0] threshold[5 sec], count[2010], gRunLoop: checkin@[59459.540291] count[2018] last[59459.540291] max[1.062055] diff[0.369462], faults[0], last faulted @count[0], thresholdExceeded[0]
2026-04-21 15:04:56.755581+0900 0x1d456    Default     0x5ce27              608    0    akd: (DeviceIdentity) (null) (non-fatal, existing valid certificates)
2026-04-21 15:05:26.516374+0900 0x1ca25    Default     0x0                  251    0    airportd: (IO80211) [com.apple.WiFiManager:] Info: <airport[251]> _healthCheckTimerHandler: Health check alive, checkin@[59490.017596], fault[0] crash[0] threshold[5 sec], count[2040], gRunLoop: checkin@[59489.539217] count[2048] last[59489.539217] max[1.062055] diff[0.478378], faults[0], last faulted @count[0], thresholdExceeded[0]
2026-04-21 15:05:33.973079+0900 0x1d7d9    Error       0x0                  1785   0    GoogleUpdater: [com.google.GoogleUpdater:chromium_logging] [1785:120793:0421/150533.990468:ERROR:third_party/crashpad/crashpad/util/file/file_io_posix.cc:145] open /Users/naen/Library/Application Support/Google/RLZ/Crashpad/settings.dat: No such file or directory (2)
2026-04-21 15:05:33.996092+0900 0x1d7eb    Error       0x0                  1788   0    GoogleUpdater: [com.google.GoogleUpdater:chromium_logging] [1788:120811:0421/150534.013483:ERROR:third_party/crashpad/crashpad/util/file/file_io_posix.cc:145] open /Users/naen/Library/Application Support/Google/RLZ/Crashpad/settings.dat: No such file or directory (2)
2026-04-21 15:05:34.018569+0900 0x1d7fe    Error       0x0                  1792   0    GoogleUpdater: [com.google.GoogleUpdater:chromium_logging] [1792:120830:0421/150534.035962:ERROR:third_party/crashpad/crashpad/util/file/file_io_posix.cc:145] open /Users/naen/Library/Application Support/Google/RLZ/Crashpad/settings.dat: No such file or directory (2)
2026-04-21 15:05:34.133403+0900 0x1d813    Error       0x0                  1796   0    GoogleUpdater: [com.google.GoogleUpdater:chromium_logging] [1796:120851:0421/150534.150796:ERROR:third_party/crashpad/crashpad/util/file/file_io_posix.cc:145] open /Users/naen/Library/Application Support/Google/RLZ/Crashpad/settings.dat: No such file or directory (2)
2026-04-21 15:05:39.841249+0900 0x1d81f    Default     0x0                  0      0    kernel: (AppleMobileFileIntegrity) AMFI: [non-fatal] unable to accelerate context: com.apple.hdiutil | 65285
2026-04-21 15:05:42.113245+0900 0x1d8ee    Default     0x0                  0      0    kernel: (AppleMobileFileIntegrity) AMFI: [non-fatal] unable to accelerate context: com.apple.fskit_helper | 65285
