Timestamp                       Thread     Type        Activity             PID    TTL  
2026-04-21 15:03:10.780803+0900 0x16b5     Default     0x0                  439    7    PriTypeV2: (SkyLight) [com.apple.SkyLight:default] [439] CGSDisplayNotifyProc: got notification kCGSDisplayDisplaySystemStateChanged
2026-04-21 15:03:10.780805+0900 0x16b5     Default     0x0                  439    7    PriTypeV2: (SkyLight) [com.apple.SkyLight:default] [439] CGSDisplayNotifyProc: display system state seed 16 -> 17
2026-04-21 15:03:10.784102+0900 0x16b5     Default     0x0                  439    7    PriTypeV2: (SkyLight) [com.apple.SkyLight:default] [439] CGSDisplayNotifyProc: got notification kCGSDisplayDidWake
2026-04-21 15:03:14.067139+0900 0x16b5     Activity    0x3fed4              439    0    PriTypeV2: (InputMethodKit) Activate Server
2026-04-21 15:03:14.067141+0900 0x16b5     Activity    0x3fed5              439    0    PriTypeV2: (InputMethodKit) Get bundle identifier
2026-04-21 15:03:14.067155+0900 0x16b5     Activity    0x3fed6              439    0    PriTypeV2: (InputMethodKit) Get bundle identifier
2026-04-21 15:03:14.067157+0900 0x16b5     Activity    0x3fed7              439    0    PriTypeV2: (InputMethodKit) Get valid marked text attributes
2026-04-21 15:03:14.067580+0900 0x16b5     Default     0x0                  439    0    PriTypeV2: (InputMethodKit) <private>
2026-04-21 15:03:14.067581+0900 0x16b5     Activity    0x3fed8              439    0    PriTypeV2: (InputMethodKit) Set value for tag
2026-04-21 15:03:14.073508+0900 0x16b5     Activity    0x3fed9              439    0    PriTypeV2: (InputMethodKit) Menu
2026-04-21 15:03:14.073618+0900 0x16b5     Activity    0x3feda              439    0    PriTypeV2: (CoreFoundation) Loading Preferences From User CFPrefsD
2026-04-21 15:03:14.323828+0900 0x1932c    Default     0x0                  439    0    PriTypeV2: (libxpc.dylib) [com.apple.xpc:connection] [0x87297df80] invalidated because the client process (pid 171) either cancelled the connection or exited
2026-04-21 15:03:19.571833+0900 0x16b5     Activity    0x3fedb              439    0    PriTypeV2: (InputMethodKit) Deactivate Server
2026-04-21 15:03:19.571837+0900 0x16b5     Activity    0x3fedc              439    0    PriTypeV2: (InputMethodKit) Get bundle identifier
2026-04-21 15:03:19.572233+0900 0x16b5     Activity    0x3fedd              439    0    PriTypeV2: (InputMethodKit) Activate Server
2026-04-21 15:03:19.572235+0900 0x16b5     Activity    0x3fede              439    0    PriTypeV2: (InputMethodKit) Get bundle identifier
2026-04-21 15:03:19.572249+0900 0x16b5     Activity    0x3fedf              439    0    PriTypeV2: (InputMethodKit) Get bundle identifier
2026-04-21 15:03:19.572253+0900 0x16b5     Activity    0x5b600              439    0    PriTypeV2: (InputMethodKit) Get valid marked text attributes
2026-04-21 15:03:19.572854+0900 0x16b5     Default     0x0                  439    0    PriTypeV2: (InputMethodKit) <private>
2026-04-21 15:03:19.572856+0900 0x16b5     Activity    0x5b601              439    0    PriTypeV2: (InputMethodKit) Set value for tag
2026-04-21 15:03:19.573331+0900 0x16b5     Activity    0x5b602              439    0    PriTypeV2: (InputMethodKit) Deactivate Server
2026-04-21 15:03:19.573333+0900 0x16b5     Activity    0x5b603              439    0    PriTypeV2: (InputMethodKit) Get bundle identifier
2026-04-21 15:03:19.824209+0900 0x16b5     Activity    0x5b604              439    0    PriTypeV2: (InputMethodKit) Activate Server
2026-04-21 15:03:19.824214+0900 0x16b5     Activity    0x5b605              439    0    PriTypeV2: (InputMethodKit) Get bundle identifier
2026-04-21 15:03:19.824238+0900 0x16b5     Activity    0x5b606              439    0    PriTypeV2: (InputMethodKit) Get bundle identifier
2026-04-21 15:03:19.824243+0900 0x16b5     Activity    0x5b607              439    0    PriTypeV2: (InputMethodKit) Get valid marked text attributes
2026-04-21 15:03:19.824872+0900 0x16b5     Default     0x0                  439    0    PriTypeV2: (InputMethodKit) <private>
2026-04-21 15:03:19.824875+0900 0x16b5     Activity    0x5b608              439    0    PriTypeV2: (InputMethodKit) Set value for tag
2026-04-21 15:03:19.825452+0900 0x16b5     Activity    0x5b609              439    0    PriTypeV2: (InputMethodKit) Menu
2026-04-21 15:03:21.125974+0900 0x16b5     Activity    0x5b60a              439    0    PriTypeV2: (InputMethodKit) Deactivate Server
2026-04-21 15:03:21.125977+0900 0x16b5     Activity    0x5b60b              439    0    PriTypeV2: (InputMethodKit) Get bundle identifier
2026-04-21 15:03:21.126208+0900 0x16b5     Activity    0x5b60c              439    0    PriTypeV2: (InputMethodKit) Activate Server
2026-04-21 15:03:21.126209+0900 0x16b5     Activity    0x5b60d              439    0    PriTypeV2: (InputMethodKit) Get bundle identifier
2026-04-21 15:03:21.126215+0900 0x16b5     Activity    0x5b60e              439    0    PriTypeV2: (InputMethodKit) Get bundle identifier
2026-04-21 15:03:21.126218+0900 0x16b5     Activity    0x5b60f              439    0    PriTypeV2: (InputMethodKit) Get valid marked text attributes
2026-04-21 15:03:21.126561+0900 0x16b5     Default     0x0                  439    0    PriTypeV2: (InputMethodKit) <private>
2026-04-21 15:03:21.126563+0900 0x16b5     Activity    0x5b710              439    0    PriTypeV2: (InputMethodKit) Set value for tag
2026-04-21 15:03:21.134819+0900 0x16b5     Activity    0x5b711              439    0    PriTypeV2: (InputMethodKit) Menu
2026-04-21 15:03:23.394170+0900 0x16b5     Activity    0x5b712              439    0    PriTypeV2: (InputMethodKit) Deactivate Server
2026-04-21 15:03:23.394175+0900 0x16b5     Activity    0x5b713              439    0    PriTypeV2: (InputMethodKit) Get bundle identifier
2026-04-21 15:03:23.405413+0900 0x16b5     Activity    0x5b714              439    0    PriTypeV2: (InputMethodKit) Activate Server
2026-04-21 15:03:23.405415+0900 0x16b5     Activity    0x5b715              439    0    PriTypeV2: (InputMethodKit) Get bundle identifier
2026-04-21 15:03:23.405491+0900 0x16b5     Activity    0x5b716              439    0    PriTypeV2: (InputMethodKit) Get bundle identifier
